id,Target
76518,Graduate
76519,Graduate
76520,Enrolled
76521,Enrolled
76522,Enrolled
76523,Graduate
76524,Graduate
76525,Graduate
76526,Enrolled
76527,Graduate
76528,Graduate
76529,Graduate
76530,Graduate
76531,Enrolled
76532,Enrolled
76533,Enrolled
76534,Graduate
76535,Graduate
76536,Enrolled
76537,Graduate
76538,Graduate
76539,Graduate
76540,Enrolled
76541,Enrolled
76542,Enrolled
76543,Graduate
76544,Graduate
76545,Graduate
76546,Graduate
76547,Enrolled
76548,Graduate
76549,Graduate
76550,Enrolled
76551,Enrolled
76552,Enrolled
76553,Enrolled
76554,Graduate
76555,Graduate
76556,Enrolled
76557,Enrolled
76558,Graduate
76559,Graduate
76560,Graduate
76561,Enrolled
76562,Enrolled
76563,Enrolled
76564,Enrolled
76565,Graduate
76566,Enrolled
76567,Enrolled
76568,Graduate
76569,Enrolled
76570,Graduate
76571,Graduate
76572,Enrolled
76573,Enrolled
76574,Enrolled
76575,Enrolled
76576,Enrolled
76577,Enrolled
76578,Enrolled
76579,Graduate
76580,Graduate
76581,Graduate
76582,Graduate
76583,Enrolled
76584,Enrolled
76585,Graduate
76586,Graduate
76587,Enrolled
76588,Enrolled
76589,Graduate
76590,Enrolled
76591,Graduate
76592,Graduate
76593,Enrolled
76594,Graduate
76595,Enrolled
76596,Enrolled
76597,Graduate
76598,Enrolled
76599,Enrolled
76600,Enrolled
76601,Graduate
76602,Graduate
76603,Graduate
76604,Enrolled
76605,Graduate
76606,Enrolled
76607,Graduate
76608,Enrolled
76609,Enrolled
76610,Enrolled
76611,Enrolled
76612,Enrolled
76613,Enrolled
76614,Enrolled
76615,Enrolled
76616,Graduate
76617,Graduate
76618,Enrolled
76619,Enrolled
76620,Enrolled
76621,Enrolled
76622,Enrolled
76623,Graduate
76624,Graduate
76625,Enrolled
76626,Enrolled
76627,Enrolled
76628,Graduate
76629,Graduate
76630,Graduate
76631,Enrolled
76632,Graduate
76633,Enrolled
76634,Enrolled
76635,Graduate
76636,Enrolled
76637,Enrolled
76638,Graduate
76639,Graduate
76640,Enrolled
76641,Graduate
76642,Enrolled
76643,Enrolled
76644,Enrolled
76645,Enrolled
76646,Graduate
76647,Graduate
76648,Graduate
76649,Graduate
76650,Graduate
76651,Enrolled
76652,Enrolled
76653,Graduate
76654,Graduate
76655,Enrolled
76656,Enrolled
76657,Graduate
76658,Graduate
76659,Graduate
76660,Graduate
76661,Graduate
76662,Enrolled
76663,Enrolled
76664,Enrolled
76665,Enrolled
76666,Graduate
76667,Graduate
76668,Enrolled
76669,Enrolled
76670,Enrolled
76671,Enrolled
76672,Graduate
76673,Graduate
76674,Enrolled
76675,Graduate
76676,Enrolled
76677,Enrolled
76678,Enrolled
76679,Graduate
76680,Graduate
76681,Enrolled
76682,Enrolled
76683,Graduate
76684,Enrolled
76685,Graduate
76686,Graduate
76687,Graduate
76688,Enrolled
76689,Enrolled
76690,Enrolled
76691,Graduate
76692,Enrolled
76693,Graduate
76694,Enrolled
76695,Graduate
76696,Enrolled
76697,Graduate
76698,Enrolled
76699,Graduate
76700,Graduate
76701,Graduate
76702,Graduate
76703,Graduate
76704,Enrolled
76705,Graduate
76706,Enrolled
76707,Enrolled
76708,Graduate
76709,Graduate
76710,Enrolled
76711,Enrolled
76712,Graduate
76713,Enrolled
76714,Enrolled
76715,Graduate
76716,Enrolled
76717,Graduate
76718,Enrolled
76719,Graduate
76720,Enrolled
76721,Graduate
76722,Enrolled
76723,Graduate
76724,Graduate
76725,Graduate
76726,Enrolled
76727,Enrolled
76728,Graduate
76729,Enrolled
76730,Graduate
76731,Enrolled
76732,Graduate
76733,Graduate
76734,Graduate
76735,Graduate
76736,Enrolled
76737,Enrolled
76738,Graduate
76739,Enrolled
76740,Graduate
76741,Graduate
76742,Enrolled
76743,Enrolled
76744,Enrolled
76745,Enrolled
76746,Enrolled
76747,Graduate
76748,Enrolled
76749,Enrolled
76750,Graduate
76751,Graduate
76752,Enrolled
76753,Enrolled
76754,Graduate
76755,Enrolled
76756,Graduate
76757,Graduate
76758,Graduate
76759,Enrolled
76760,Enrolled
76761,Graduate
76762,Enrolled
76763,Graduate
76764,Enrolled
76765,Graduate
76766,Graduate
76767,Graduate
76768,Graduate
76769,Enrolled
76770,Graduate
76771,Enrolled
76772,Enrolled
76773,Enrolled
76774,Graduate
76775,Graduate
76776,Graduate
76777,Enrolled
76778,Enrolled
76779,Enrolled
76780,Graduate
76781,Graduate
76782,Enrolled
76783,Enrolled
76784,Enrolled
76785,Enrolled
76786,Enrolled
76787,Graduate
76788,Enrolled
76789,Graduate
76790,Graduate
76791,Graduate
76792,Enrolled
76793,Graduate
76794,Enrolled
76795,Graduate
76796,Enrolled
76797,Enrolled
76798,Graduate
76799,Graduate
76800,Enrolled
76801,Enrolled
76802,Enrolled
76803,Graduate
76804,Enrolled
76805,Graduate
76806,Enrolled
76807,Enrolled
76808,Enrolled
76809,Enrolled
76810,Graduate
76811,Enrolled
76812,Enrolled
76813,Graduate
76814,Graduate
76815,Enrolled
76816,Enrolled
76817,Enrolled
76818,Graduate
76819,Graduate
76820,Graduate
76821,Graduate
76822,Enrolled
76823,Enrolled
76824,Graduate
76825,Enrolled
76826,Graduate
76827,Enrolled
76828,Graduate
76829,Graduate
76830,Enrolled
76831,Enrolled
76832,Enrolled
76833,Enrolled
76834,Graduate
76835,Enrolled
76836,Enrolled
76837,Graduate
76838,Graduate
76839,Graduate
76840,Graduate
76841,Graduate
76842,Graduate
76843,Graduate
76844,Enrolled
76845,Enrolled
76846,Graduate
76847,Graduate
76848,Enrolled
76849,Graduate
76850,Graduate
76851,Graduate
76852,Enrolled
76853,Enrolled
76854,Graduate
76855,Graduate
76856,Graduate
76857,Graduate
76858,Graduate
76859,Enrolled
76860,Graduate
76861,Graduate
76862,Graduate
76863,Enrolled
76864,Enrolled
76865,Graduate
76866,Enrolled
76867,Enrolled
76868,Enrolled
76869,Graduate
76870,Enrolled
76871,Graduate
76872,Enrolled
76873,Graduate
76874,Enrolled
76875,Enrolled
76876,Enrolled
76877,Enrolled
76878,Enrolled
76879,Graduate
76880,Enrolled
76881,Graduate
76882,Graduate
76883,Graduate
76884,Enrolled
76885,Enrolled
76886,Graduate
76887,Graduate
76888,Enrolled
76889,Graduate
76890,Enrolled
76891,Enrolled
76892,Graduate
76893,Graduate
76894,Graduate
76895,Enrolled
76896,Enrolled
76897,Enrolled
76898,Graduate
76899,Graduate
76900,Graduate
76901,Graduate
76902,Enrolled
76903,Graduate
76904,Enrolled
76905,Graduate
76906,Graduate
76907,Enrolled
76908,Graduate
76909,Graduate
76910,Graduate
76911,Enrolled
76912,Enrolled
76913,Enrolled
76914,Graduate
76915,Graduate
76916,Graduate
76917,Enrolled
76918,Enrolled
76919,Graduate
76920,Enrolled
76921,Enrolled
76922,Enrolled
76923,Graduate
76924,Enrolled
76925,Enrolled
76926,Enrolled
76927,Graduate
76928,Enrolled
76929,Graduate
76930,Graduate
76931,Graduate
76932,Graduate
76933,Graduate
76934,Graduate
76935,Graduate
76936,Graduate
76937,Graduate
76938,Graduate
76939,Enrolled
76940,Enrolled
76941,Enrolled
76942,Graduate
76943,Graduate
76944,Enrolled
76945,Graduate
76946,Enrolled
76947,Graduate
76948,Graduate
76949,Enrolled
76950,Graduate
76951,Graduate
76952,Enrolled
76953,Enrolled
76954,Enrolled
76955,Enrolled
76956,Enrolled
76957,Enrolled
76958,Graduate
76959,Graduate
76960,Graduate
76961,Graduate
76962,Graduate
76963,Graduate
76964,Enrolled
76965,Graduate
76966,Graduate
76967,Enrolled
76968,Enrolled
76969,Graduate
76970,Graduate
76971,Enrolled
76972,Enrolled
76973,Graduate
76974,Enrolled
76975,Enrolled
76976,Enrolled
76977,Enrolled
76978,Graduate
76979,Enrolled
76980,Enrolled
76981,Enrolled
76982,Graduate
76983,Graduate
76984,Enrolled
76985,Graduate
76986,Graduate
76987,Graduate
76988,Enrolled
76989,Enrolled
76990,Enrolled
76991,Enrolled
76992,Graduate
76993,Graduate
76994,Enrolled
76995,Graduate
76996,Enrolled
76997,Enrolled
76998,Enrolled
76999,Graduate
77000,Enrolled
77001,Graduate
77002,Graduate
77003,Enrolled
77004,Graduate
77005,Graduate
77006,Graduate
77007,Enrolled
77008,Enrolled
77009,Graduate
77010,Enrolled
77011,Graduate
77012,Graduate
77013,Enrolled
77014,Graduate
77015,Graduate
77016,Enrolled
77017,Graduate
77018,Graduate
77019,Graduate
77020,Enrolled
77021,Enrolled
77022,Graduate
77023,Graduate
77024,Enrolled
77025,Graduate
77026,Graduate
77027,Graduate
77028,Enrolled
77029,Enrolled
77030,Enrolled
77031,Graduate
77032,Enrolled
77033,Graduate
77034,Enrolled
77035,Enrolled
77036,Enrolled
77037,Enrolled
77038,Graduate
77039,Enrolled
77040,Graduate
77041,Graduate
77042,Graduate
77043,Enrolled
77044,Graduate
77045,Enrolled
77046,Enrolled
77047,Enrolled
77048,Graduate
77049,Graduate
